key	en_us	zh_cn	zh_tw	zh_hk	ja_jp
commands.test.error.structure_not_found	Test structure %s could not be found	无法找到测试结构%s	無法找到測試結構 %s	未發現測試結構 %s	テスト構造物%sが見つかりませんでした
commands.test.error.test_instance_not_found	Test instance block entity could not be found	无法找到测试实例方块实体	無法找到測試實例方塊實體	未發現測試實例方塊實體	テストインスタンスブロックエンティティが見つかりませんでした
commands.test.error.test_instance_not_found.position	Test instance block entity could not be found for test at %s, %s, %s	无法在%s, %s, %s处找到测试实例方块实体	無法在 %s, %s, %s 處找到測試實例方塊實體	%s, %s, %s 處未發現測試實例方塊實體	%s, %s, %sを含むテストにテストインスタンスブロックエンティティが見つかりませんでした
commands.test.error.too_large	The structure size must be less than %s blocks along each axis	结构在每条轴上的大小必须小于%s个方块	結構在每個軸上的長度皆須小於 %s 個方塊	結構於每個軸上的大小必須小於 %s 個方塊	構造物のサイズはすべての軸で%sブロック以内でなければいけません
commands.test.locate.done	Finished locating: found %s structure(s)	定位完成：找到%s个结构	定位完成，找到了 %s 個結構	定位完成，發現 %s 個結構	捜索が完了し、%s個の構造物が見つかりました
commands.test.locate.found	Found structure at: %s (distance: %s)	在以下位置找到结构：%s（距离：%s）	在下列位置找到結構：%s（距離：%s）	於以下位置發現結構：%s（距離：%s）	構造物が%sに見つかりました（距離：%s）
commands.test.locate.started	Started locating test structures. This might take a while...	已开始定位测试结构。这可能需要一点时间…	開始定位測試結構。這可能需要一點時間...	開始定位測試結構，可能需時頗長⋯⋯	テスト構造物の捜索を開始します。これにはしばらくかかる場合があります…
commands.test.no_tests	No tests to run	没有需要运行的测试	沒有需要執行的測試	無需要執行的測試	実行するテストがありません
commands.test.relative_position	Position relative to %s: %s	相对于%s的位置：%s	相對 %s 的位置：%s	相對 %s 的位置：%s	%sからの相対位置：%s
commands.test.reset.error.no_tests	Could not find any tests to reset	无法找到任何需要重置的测试	找不到任何需要重設的測試	未發現任何需要重設的測試	リセットするテストが見つかりませんでした
commands.test.reset.success	Reset %s structure(s)	重置了%s个结构	已重設 %s 個結構	已重設 %s 個結構	%s個の構造物をリセットしました
commands.test.run.no_tests	No tests found	未找到测试	未找到任何測試	未發現測試	テストが見つかりませんでした
commands.test.run.running	Running %s test(s)...	正在运行%s个测试…	正在執行 %s 個測試...	正在執行 %s 個測試...	%s件のテストを実行中です…
commands.test.summary	Game Test complete! %s test(s) were run	游戏测试完成！已运行%s个测试	遊戲測試完成！執行了 %s 個測試	遊戲測試完成！共執行 %s 個測試	ゲームテストが完了しました。%s件のテストが実行されました
commands.test.summary.all_required_passed	All required tests passed :)	必要测试均已通过 :)	必要測試均已通過 :)	必要測試均已通過 :)	すべての必須テストが通過しました (`･ω･´)
commands.test.summary.failed	%s required test(s) failed :(	%s个必要测试失败 :(	%s 個必要測試失敗 :(	%s 個必要測試失敗 :(	%s件の必須テストが失敗しました (´･ω･`)
commands.test.summary.optional_failed	%s optional test(s) failed	%s个可选测试失败	%s 個可選測試失敗	%s 個可選測試失敗	%s件の任意テストが失敗しました
commands.tick.query.percentiles	Percentiles: P50: %sms P95: %sms P99: %sms. Sample: %s	百分位数：50%%：%s毫秒 95%%：%s毫秒 99%%：%s毫秒。共采样：%s	百分位數：50%%：%s 毫秒，95%%：%s 毫秒，99%%：%s 毫秒，共取樣：%s	百分位數：50%%：%s 毫秒；95%%：%s 毫秒；99%%：%s 毫秒，共採樣：%s	パーセンタイル：P50：%sミリ秒、P95：%sミリ秒、P99：%sミリ秒、サンプル数：%s
commands.tick.query.rate.running	Target tick rate: %s per second.
Average time per tick: %sms (Target: %sms)	目标速率：%s刻每秒。
每刻平均时间：%s毫秒（目标：%s毫秒）	目標速率：每秒 %s 刻。
每刻平均時間：%s 毫秒（目標：%s 毫秒）	目標速率：每秒 %s 刻。
每刻平均時間：%s 毫秒（目標：%s 毫秒）	対象のティック速度：%sティック／秒
1ティックの平均所要時間：%sミリ秒（対象：%sミリ秒）
commands.tick.query.rate.sprinting	Target tick rate: %s per second (ignored, reference only).
Average time per tick: %sms	目标速率：%s刻每秒（已忽略，仅供参考）。
每刻平均时间：%s毫秒	目標速率：每秒 %s 刻（已忽略，僅供參考）。
每刻平均時間：%s 毫秒	目標速率：每秒 %s 刻（已忽略，僅供參考）。
每刻平均時間：%s 毫秒	対象のティック速度：毎秒%sティック（無視、参照のみ）
1ティックの平均所要時間：%sミリ秒
commands.tick.rate.success	Set the target tick rate to %s per second	已设置目标速率为每秒%s刻	已將目標速率設為每秒 %s 刻	已設定目標速率為每秒 %s 刻	対象のティック速度を%sティック毎秒に設定しました
commands.tick.sprint.report	Sprint completed with %s ticks per second, or %s ms per tick	游戏加速已完成，速率为每秒%s刻，即每刻%s毫秒	遊戲刻加速已完成，速率為每秒 %s 刻，即每刻 %s 毫秒	遊戲刻加速已完成，速率為每秒 %s 刻，即每刻 %s 毫秒	ティック速度無制限での処理は、%sティック毎秒、または1ティック当たり%sミリ秒で完了しました
commands.tick.sprint.stop.fail	No tick sprint in progress	没有正在执行的游戏刻加速	沒有正在執行的遊戲刻加速	尚無正在執行的遊戲刻加速	ティック速度無制限での処理が行われていません
commands.tick.sprint.stop.success	Interrupted the current tick sprint	当前游戏刻加速已中止	已中止目前的遊戲刻加速	目前遊戲刻加速已中止	ティック速度無制限での処理を中断しました
commands.tick.status.frozen	The game is frozen	游戏冻结中	遊戲已定格	遊戲凍結中	ゲームを停止しました
commands.tick.status.lagging	The game is running, but can't keep up with the target tick rate	游戏正在运行，但无法达到目标速率	遊戲正在執行，但無法維持目標速率	遊戲正在執行，惟無法維持目標速率	ゲームは実行されていますが、目標のティック速度を維持できていません
commands.tick.status.running	The game is running normally	游戏正在以正常速度运行	遊戲正在以正常速率執行	遊戲正在以正常速度執行	ゲームの実行を通常通りに戻しました
commands.tick.status.sprinting	The game is sprinting	游戏加速运行中	遊戲加速執行中	遊戲正在加速執行	ティック速度無制限でゲームを実行中です
commands.tick.step.fail	Unable to step the game - the game must be frozen first	无法步进游戏，请先冻结游戏	無法步進遊戲，請先定格遊戲	無法步進遊戲，請先凍結遊戲	一時的なティック処理を行うには、まずゲームをフリーズさせてください
commands.tick.step.stop.fail	No tick step in progress	没有正在执行的游戏刻步进	沒有正在執行的遊戲刻步進	尚無正在執行的遊戲刻步進	一時的なティック処理が行われていません
commands.tick.step.stop.success	Interrupted the current tick step	当前游戏刻步进已中止	已中止目前的遊戲刻步進	目前遊戲刻步進已中止	一時的なティック処理を中断しました
commands.tick.step.success	Stepping %s tick(s)	正在步进%s刻	正在步進 %s 刻	正在步進 %s 刻	%sティック分処理を実行します
commands.time.no_default_clock	There is no default clock in dimension %s	维度%s中没有默认时钟	維度 %s 中沒有預設時鐘	維度 %s 並無預設時鐘	ディメンション「%s」にはデフォルトの時計がありません
commands.time.no_time_marker_found	Time marker %s does not exist for clock %s	时钟%2$s不存在时间标记%1$s	時鐘 %2$s 不存在時間標記 %1$s	時鐘 %2$s 不存在時間標記 %1$s	タイムマーカー「%s」は時計「%s」に存在しません
commands.time.pause	Paused clock %s	已暂停时钟%s	已暫停時鐘 %s	已暫停時鐘 %s	時計「%s」を一時停止しました
commands.time.query	The time is %s	当前时间为%s	目前時間為 %s	目前時間為 %s	現在の時刻は%sです
commands.time.query.absolute	Clock %s is at %s tick(s)	时钟%s处于%s刻	時鐘 %s 處於 %s 刻	時鐘 %s 處於 %s 刻	時計「%s」は%sティックです
commands.time.query.gametime	The game time is %s tick(s)	游戏时间为%s刻	遊戲時間為 %s 刻	遊戲時間為 %s 刻	ゲーム時間は%sティックです
commands.time.query.timeline	Timeline %s is at %s tick(s)	时间线%s处于%s刻	時間軸 %s 處於 %s 刻	時間線 %s 處於 %s 刻	タイムライン「%s」は%sティックです
commands.time.query.timeline.repetitions	Timeline %s has passed %s repetition(s)	时间线%s已重复%s次	時間軸 %s 已重複 %s 次	時間線 %s 已重複 %s 次	タイムライン「%s」は%s回繰り返されています
commands.time.rate	Clock %s will now advance at %sx normal rate	时钟%s现在以正常速度的%s倍运行	時鐘 %s 的速度已設定為正常速度的 %s 倍	時鐘 %s 現時將以正常速度的 %s 倍前進	時計「%s」の進行速度を通常の%s倍に変更しました
commands.time.resume	Resumed clock %s	已恢复时钟%s	已恢復時鐘 %s	已恢復時鐘 %s	時計「%s」を再開しました
commands.time.set	Set the time to %s	已将时间设为%s	設定時間為 %s	已將時間設定為 %s	時刻を%sに設定しました
commands.time.set.absolute	Set %s to %s tick(s)	已将%s设为%s刻	已將 %s 設為 %s 刻	已將 %s 設為 %s 刻	%sを%sティックに設定しました
commands.time.set.time_marker	Set %s to time marker %s	已将%s调至时间标记%s的时刻	已將 %s 設為時間標記 %s	已將 %s 設為時間標記 %s 的時刻	%sをタイムマーカー「%s」に設定しました
commands.time.wrong_timeline_for_clock	Timeline %s is not valid for clock %s	时间线%s对时钟%s无效	時間軸 %s 對時鐘 %s 無效	時間線 %s 對時鐘 %s 無效	タイムライン「%s」は時計「%s」に対して無効です
commands.title.cleared.multiple	Cleared titles for %s players	已清除%s名玩家的标题	已清除 %s 個玩家的標題	已清除 %s 個玩家的標題	%s人のプレイヤーからタイトルを消去しました
commands.title.cleared.single	Cleared titles for %s	已清除%s的标题	已清除 %s 的標題	已清除 %s 的標題	%sからタイトルを消去しました
commands.title.reset.multiple	Reset title options for %s players	已重置%s名玩家的标题设置	已重設 %s 個玩家的標題設定	已重設 %s 個玩家的標題設定	%s人のプレイヤーのタイトル設定をリセットしました
commands.title.reset.single	Reset title options for %s	已重置%s的标题设置	已重設 %s 的標題設定	已重設 %s 的標題設定	%sのタイトル設定をリセットしました
commands.title.show.actionbar.multiple	Showing new actionbar title for %s players	正在向%s名玩家显示新的动作栏标题	已對 %s 個玩家顯示了新的動作欄標題	已對 %s 個玩家顯示新的動作欄標題	%s人のプレイヤーにアクションバータイトルを表示しています
commands.title.show.actionbar.single	Showing new actionbar title for %s	正在向%s显示新的动作栏标题	已對 %s 顯示了新的動作欄標題	已對 %s 顯示新的動作欄標題	%sにアクションバータイトルを表示しています
commands.title.show.subtitle.multiple	Showing new subtitle for %s players	正在向%s名玩家显示新的副标题	已對 %s 個玩家顯示了新的副標題	已對 %s 個玩家顯示新的副標題	%s人のプレイヤーにサブタイトルを表示しています
commands.title.show.subtitle.single	Showing new subtitle for %s	正在向%s显示新的副标题	已對 %s 顯示了新的副標題	已對 %s 顯示新的副標題	%sにサブタイトルを表示しています
commands.title.show.title.multiple	Showing new title for %s players	正在向%s名玩家显示新的标题	已對 %s 個玩家顯示了新的標題	已對 %s 個玩家顯示新的標題	%s人のプレイヤーにタイトルを表示しています
commands.title.show.title.single	Showing new title for %s	正在向%s显示新的标题	已對 %s 顯示了新的標題	已對 %s 顯示新的標題	%sにタイトルを表示しています
commands.title.times.multiple	Changed title display times for %s players	已更改%s名玩家的标题显示时间	已變更 %s 個玩家的標題顯示時間	已變更 %s 個玩家的標題顯示時間	%s人のプレイヤーのタイトル表示時間を変更しました
commands.title.times.single	Changed title display times for %s	已更改%s的标题显示时间	已變更 %s 的標題顯示時間	已變更 %s 的標題顯示時間	%sのタイトル表示時間を変更しました
commands.transfer.error.no_players	Must specify at least one player to transfer	必须至少指定一个待转移的玩家	必須至少指定一個待轉移的玩家	必須至少指定一個待轉移的玩家	転送するプレイヤーを一人以上指定する必要があります
commands.transfer.success.multiple	Transferring %s players to %s:%s	正在转移%s个玩家至%s:%s	正在轉移 %s 個玩家至 %s:%s	正在轉移 %s 個玩家至 %s:%s	%s人のプレイヤーを%sへ転送しています：%s
commands.transfer.success.single	Transferring %s to %s:%s	正在转移%s至%s:%s	正在轉移 %s 至 %s:%s	正在轉移 %s 至 %s:%s	%sを%sへ転送しています：%s
commands.trigger.add.success	Triggered %s (added %s to value)	已触发%s（数值已增加%s）	已觸發 %s（將數值增加 %s）	已觸發 %s（將數值增加 %s）	%sをトリガーしました（値に%sを加算しました）
commands.trigger.failed.invalid	You can only trigger objectives that are 'trigger' type	你只能触发“trigger”类型的记分项	你只能觸發 'trigger' 類型的目標	你僅可觸發「觸發項目」類型目標	「trigger」タイプのオブジェクトのみトリガーできます
commands.trigger.failed.unprimed	You cannot trigger this objective yet	你尚无法触发这个记分项	你還無法觸發這個目標	你暫時無法觸發此目標	まだオブジェクトをトリガーできません
commands.trigger.set.success	Triggered %s (set value to %s)	已触发%s（数值已设为%s）	已觸發 %s（將數值設為 %s）	已觸發 %s（將數值設為 %s）	%sをトリガーしました（値を%sに設定しました）
commands.trigger.simple.success	Triggered %s	已触发%s	已觸發 %s	已觸發 %s	%sをトリガーしました
commands.unpublish.notPublished	No multiplayer game published	目前尚未开放多人游戏	目前尚未公開多人遊戲	並無已開放的多人遊戲	公開されているマルチプレイはありません
commands.unpublish.success	Multiplayer game is now unpublished	多人游戏已取消开放	已取消公開多人遊戲	已取消開放多人遊戲	マルチプレイを非公開にしました
commands.version.build_time	build_time = %s	build_time = %s	build_time = %s	build_time = %s	build_time = %s
commands.version.data	data = %s	data = %s	data = %s	data = %s	data = %s
commands.version.header	Server version info:	Server version info:	Server version info:	Server version info:	サーバーのバージョン情報：
commands.version.id	id = %s	id = %s	id = %s	id = %s	id = %s
commands.version.name	name = %s	name = %s	name = %s	name = %s	name = %s
commands.version.pack.data	pack_data = %s	pack_data = %s	pack_data = %s	pack_data = %s	pack_data = %s
commands.version.pack.resource	pack_resource = %s	pack_resource = %s	pack_resource = %s	pack_resource = %s	pack_resource = %s
commands.version.protocol	protocol = %s (%s)	protocol = %s (%s)	protocol = %s (%s)	protocol = %s (%s)	protocol = %s (%s)
commands.version.series	series = %s	series = %s	series = %s	series = %s	series = %s
commands.version.stable.no	stable = no	stable = no	stable = no	stable = no	stable = no
commands.version.stable.yes	stable = yes	stable = yes	stable = yes	stable = yes	stable = yes
commands.waypoint.list.empty	No waypoints in %s	在%s内没有路径点	%s 內沒有路徑點	%s 內並無路徑點	%sにウェイポイントがありません
commands.waypoint.list.success	%s waypoint(s) in %s: %s	在%2$s内找到%1$s个路径点：%3$s	在 %2$s 內找到 %1$s 個路徑點：%3$s	於 %2$s 內發現 %1$s 個路徑點：%3$s	%2$sに%1$s個のウェイポイントがあります：%3$s
commands.waypoint.modify.color	Waypoint color is now %s	路径点颜色现在为%s	已將路徑點顏色設為 %s	路徑點顏色已設為 %s	ウェイポイントの色を%sにしました
commands.waypoint.modify.color.reset	Reset waypoint color	已重置路径点颜色	已重設路徑點顏色	已重設路徑點顏色	ウェイポイントの色をリセットしました
commands.waypoint.modify.style	Waypoint style changed	已更改路径点样式	已變更路徑點樣式設定	已變更路徑點樣式	ウェイポイントのスタイルが変更されました
commands.weather.set.clear	Set the weather to clear	天气已设为晴天	已將天氣設為晴朗	已將天氣設為晴朗	天候を晴れに設定しました
commands.weather.set.rain	Set the weather to rain	天气已设为雨天	已將天氣設為降雨	已將天氣設為落雨	天候を雨に設定しました
commands.weather.set.thunder	Set the weather to rain & thunder	天气已设为雷雨	已將天氣設為雷雨	已將天氣設為雷雨	天候を雷雨に設定しました
commands.whitelist.add.failed	Player is already whitelisted	玩家已在白名单内	玩家已在白名單內	白名單內原本已有此玩家	プレイヤーは既にホワイトリストに含まれています
commands.whitelist.add.success	Added %s to the whitelist	已将%s加入白名单	已新增 %s 到白名單	已將 %s 加入白名單	%sをホワイトリストに追加しました
commands.whitelist.alreadyOff	Whitelist is already turned off	白名单原已关闭	白名單已經關閉	白名單原本已關閉	ホワイトリストは既に無効です
commands.whitelist.alreadyOn	Whitelist is already turned on	白名单原已开启	白名單已經啟用	白名單原本已啟用	ホワイトリストは既に有効です
commands.whitelist.disabled	Whitelist is now turned off	白名单已关闭	已關閉白名單	白名單已關閉	ホワイトリストが無効になりました
commands.whitelist.enabled	Whitelist is now turned on	白名单已开启	已啟用白名單	白名單已啟用	ホワイトリストが有効になりました
commands.whitelist.list	There are %s whitelisted player(s): %s	白名单中共有%s名玩家：%s	以下 %s 個玩家在白名單中：%s	白名單內一共有 %s 名玩家：%s	%s人のプレイヤーがホワイトリストに追加されています：%s
commands.whitelist.none	There are no whitelisted players	白名单中没有玩家	沒有玩家在白名單中	白名單內並無玩家	ホワイトリストに追加されているプレイヤーはいません
commands.whitelist.reloaded	Reloaded the whitelist	已重新读取白名单	已重新載入白名單	已重新載入白名單	ホワイトリストを再読み込みしました
commands.whitelist.remove.failed	Player is not whitelisted	玩家不在白名单内	玩家不在白名單內	白名單內並無此玩家	プレイヤーはホワイトリストに含まれていません
commands.whitelist.remove.success	Removed %s from the whitelist	已将%s移出白名单	已將 %s 從白名單中移除	已將 %s 移出白名單	%sをホワイトリストから削除しました
commands.worldborder.center.failed	Nothing changed. The world border is already centered there	无变化，世界边界中心点已经在该处	未進行任何變更。世界邊界中心已經設定於該處	未作任何變更。世界界限中心原本已設定於該處	ワールドボーダーは既にそこが中心となっているため、変更されませんでした
commands.worldborder.center.success	Set the center of the world border to %s, %s	已将世界边界的中心设为%s, %s	已將世界邊界的中心設為 %s, %s	已將世界界限中心設為 %s, %s	ワールドボーダーの中心を%s, %sに設定しました
commands.worldborder.damage.amount.failed	Nothing changed. The world border damage is already that amount	无变化，世界边界伤害已经是此值	未進行任何變更。世界邊界傷害已為該值	未作任何變更。世界界限傷害原本已為該值	ワールドボーダー外のダメージは既にその値のため、変更されませんでした
commands.worldborder.damage.amount.success	Set the world border damage to %s per block each second	已将世界边界的伤害设置为%s每秒每个方块	已將世界邊界每秒的傷害設為每遠離一格增加 %s	已將世界界限每秒的傷害設為每遠離一格增加 %s	ワールドボーダー外のダメージを%sブロック毎秒に設定しました
commands.worldborder.damage.buffer.failed	Nothing changed. The world border damage buffer is already that distance	无变化，世界边界伤害缓冲区已经是此距离	未進行任何變更。世界邊界傷害緩衝區已為該距離	未作任何變更。世界界限傷害緩衝區原本已為該距離	ワールドボーダー外の安全圏は既にその距離のため、変更されませんでした
commands.worldborder.damage.buffer.success	Set the world border damage buffer to %s block(s)	已将世界边界的伤害缓冲区设置为%s个方块	已將世界邊界傷害緩衝設為 %s 格	已將世界界限傷害緩衝設為 %s 格	ワールドボーダー外の安全圏を%sブロックに設定しました
commands.worldborder.get	The world border is currently %s block(s) wide	世界边界的当前宽度为%s个方块	世界邊界目前為 %s 格寬	世界界限目前為 %s 格寬	現在のワールドボーダーの幅は%sブロックです
commands.worldborder.set.failed.big	World border cannot be bigger than %s blocks wide	世界边界的宽度不能大于%s格	世界邊界不能大於 %s 格寬	世界界限不得大於 %s 格寬	ワールドボーダーの幅を%sブロック以上に設定することは出来ません
commands.worldborder.set.failed.far	World border cannot be further out than %s blocks	世界边界的位置不能远于%s格	世界邊界不能大於 %s 格寬	世界界限不得大於 %s 格寬	ワールドボーダーを%sブロックより遠くに設定することはできません
commands.worldborder.set.failed.nochange	Nothing changed. The world border is already that size	无变化，世界边界已经是此大小	未進行任何變更。世界邊界已為該尺寸	未作任何變更。世界界限原本已為該尺寸	ワールドボーダーは既にその大きさのため、変更されませんでした
commands.worldborder.set.failed.small	World border cannot be smaller than 1 block wide	世界边界的宽度不能小于1格	世界邊界不能小於 1 格寬	世界界限不得小於 1 格寬	ワールドボーダーの幅を1ブロックより狭くすることはできません
commands.worldborder.set.grow	Growing the world border to %s blocks wide over %s seconds	正在将世界边界的宽度扩大为%s个方块，用时%s秒	在 %2$s 秒間將世界邊界擴增為 %1$s 格寬	正在將世界界限的寬度拓寬到 %s 個方塊，時間 %s 秒	ワールドボーダーの幅を%2$s秒かけて%1$sブロックに拡大します
commands.worldborder.set.immediate	Set the world border to %s block(s) wide	已将世界边界的宽度设为%s	已將世界邊界設為 %s 格寬	已將世界界限設為 %s	ワールドボーダーの幅を%sブロックに設定しました
commands.worldborder.set.shrink	Shrinking the world border to %s block(s) wide over %s second(s)	正在将世界边界的宽度缩小为%s个方块，用时%s秒	在 %2$s 秒間將世界邊界縮減為 %1$s 格寬	正在將世界界限的寬度縮窄到 %s 個方塊，時間 %s 秒	ワールドボーダーの幅を%2$s秒かけて%1$sブロックに縮小します
commands.worldborder.warning.distance.failed	Nothing changed. The world border warning is already that distance	无变化，世界边界伤害警告区已经是此距离	未進行任何變更。世界邊界警告距離已為該距離	未作任何變更。世界界限警吿距離原本已為該距離	ワールドボーダーの警告表示は既にその距離のため、変更されませんでした
commands.worldborder.warning.distance.success	Set the world border warning distance to %s block(s)	已将世界边界的警告距离设置为%s个方块	已將世界邊界警告距離設為 %s 格	已將世界界限警吿距離設為 %s 格	ワールドボーダーの警告表示の距離を%sブロックに設定しました
commands.worldborder.warning.time.failed	Nothing changed. The world border warning is already that amount of time	无变化，世界边界警告时间已经是此时长	未進行任何變更。世界邊界警告時間已為該時間	未作任何變更。世界界限警吿時間原本已為此時間	ワールドボーダーの警告表示時間は既にその値のため、変更されませんでした
commands.worldborder.warning.time.success	Set the world border warning time to %s second(s)	已将世界边界的警告时间设置为%s秒	已將世界邊界警告時間設為 %s 秒	已將世界界限警吿時間設為 %s 秒	ワールドボーダーの警告表示時間を%s秒に設定しました
compliance.playtime.greaterThan24Hours	You've been playing for greater than 24 hours	你的游戏时长已超过24小时	您已經遊玩超過 24 小時	你已經遊玩超過 24 小時	24時間以上プレイしています
compliance.playtime.hours	You've been playing for %s hour(s)	你的游戏时长已达%s小时	您已經遊玩了 %s 小時	你已遊玩 %s 小時	%s時間プレイしています
compliance.playtime.message	Excessive gaming may interfere with normal daily life	适度游戏益脑，沉迷游戏伤身	遊戲過度可能會影響日常生活	遊戲過度可能會影響日常生活	ゲームのやりすぎは健全な日常生活を損なうおそれがあります。
component.profile.dynamic	Dynamic	实时更新	即時更新	實時更新	動的
connect.aborted	Aborted	连接中断	已中止	已中止	中断されました
connect.authorizing	Logging in...	登录中…	登入中...	登入中⋯⋯	ログイン中…
connect.connecting	Connecting to the server...	正在连接到服务器…	正在連線到伺服器...	正在連線到伺服器⋯⋯	サーバーに接続中…
connect.encrypting	Encrypting...	通讯加密中…	加密中...	加密中⋯⋯	暗号化中…
connect.failed	Failed to connect to the server	无法连接至服务器	與伺服器連線失敗	與伺服器連線失敗	サーバーへの接続に失敗しました
connect.failed.transfer	Connection failed while transferring to the server	转移到服务器时连接失败	轉移至伺服器時連線失敗	轉移至伺服器時連線失敗	サーバーへの転送中に接続が切断されました
connect.joining	Joining world...	加入世界中…	正在加入世界...	正在加入世界⋯⋯	ワールドに接続中…
connect.negotiating	Negotiating...	连接协商中…	協議中...	協議中⋯⋯	通信を確立中…
connect.p2p.establishing	Establishing connection...	建立连接中…	正在建立連線...	正在建立連線⋯⋯	接続を確立中…
connect.p2p.failed.generic	Couldn't connect to player	无法连接至该玩家	無法連線至該玩家	無法連線至該玩家	プレイヤーに接続できませんでした
connect.p2p.failed.signaling	It is not possible to connect right now.
Try again later.	暂时无法连接。
请稍后再试。	目前無法連線。
請稍後再試。	現時無法連接。
請稍後再試。	現在、接続できません。
後でもう一度お試しください。
connect.p2p.failed.timeout	Connection request timed out	连接请求超时	連線要求逾時	連線請求已逾時	接続リクエストがタイムアウトしました
connect.p2p.failed.unreachable	Player isn't reachable	玩家无法连接	無法連上玩家	玩家無法連接	プレイヤーに到達できません
connect.reconfiging	Reconfiguring...	重新配置中…	重新設定中...	正在重新設定⋯⋯	再構成中…
connect.reconfiguring	Reconfiguring...	重新配置中…	正在重新設定...	正在重新設定⋯⋯	再構成中…
connect.transferring	Transferring to new server...	正在转移至新的服务器…	正在轉移至新的伺服器...	正在轉移至新的伺服器⋯⋯	新しいサーバーに転送中...
container.barrel	Barrel	木桶	木桶	木桶	樽
container.beacon	Beacon	信标	烽火台	燈標	ビーコン
container.beehive.bees	Bees: %s / %s	蜜蜂：%s/%s	蜜蜂：%s / %s	蜜蜂：%s / %s	ミツバチの数：%s／%s
container.beehive.honey	Honey: %s / %s	蜂蜜：%s/%s	蜂蜜：%s / %s	蜜糖：%s / %s	ハチミツ：%s／%s
container.blast_furnace	Blast Furnace	高炉	高爐	高爐	溶鉱炉
container.brewing	Brewing Stand	酿造台	釀造台	釀造台	醸造台
container.cartography_table	Cartography Table	制图台	製圖台	製圖台	製図台
container.chest	Chest	箱子	儲物箱	儲物箱	チェスト
container.chestDouble	Large Chest	大型箱子	大型儲物箱	大型儲物箱	ラージチェスト
container.crafter	Crafter	合成器	合成器	合成器	自動作業台
container.crafting	Crafting	合成	合成	合成	クラフト
container.creative	Item Selection	物品选栏	選擇物品	物品選擇欄	アイテムの選択
container.dispenser	Dispenser	发射器	發射器	發射器	ディスペンサー
container.dropper	Dropper	投掷器	投擲器	投擲器	ドロッパー
container.enchant	Enchant	附魔	附魔	附魔	エンチャント
container.enchant.clue	%s . . . ?	%s…？	%s . . . ？	%s . . . ？	%s . . .？
container.enchant.lapis.many	%s Lapis Lazuli	花费：%s颗青金石	%s 個青金石	%s 個青金石	ラピスラズリ%s個
container.enchant.lapis.one	1 Lapis Lazuli	花费：1颗青金石	1 個青金石	1 個青金石	ラピスラズリ1個
container.enchant.level.many	%s Enchantment Levels	+ %s级经验	%s 個附魔等級	%s 個附魔等級	%sエンチャントレベル
container.enchant.level.one	1 Enchantment Level	+ 1级经验	1 個附魔等級	1 個附魔等級	1エンチャントレベル
container.enchant.level.requirement	Level Requirement: %s	等级要求：%s	等級需求：%s	等級需求：%s	必要なコスト：%sレベル
container.enderchest	Ender Chest	末影箱	終界箱	終界箱	エンダーチェスト
container.furnace	Furnace	熔炉	熔爐	熔爐	かまど
container.grindstone_title	Repair & Disenchant	修复和祛魔	修復與解除附魔	修復與解除附魔	修繕・エンチャント除去
container.hopper	Item Hopper	漏斗	漏斗	漏斗	ホッパー
container.inventory	Inventory	物品栏	物品欄	物品欄	インベントリ
container.isLocked	%s is locked!	%s已被上锁！	%s 已鎖上！	%s 已上鎖！	%sはロックされています
container.lectern	Lectern	讲台	講台	講台	書見台
container.loom	Loom	织布机	紡織機	織布機	機織り機
container.repair	Repair & Name	修复和命名	修復與命名	修復與命名	修繕・名付け
container.repair.cost	Enchantment Cost: %1$s	附魔花费：%1$s	附魔成本：%1$s	附魔成本：%1$s	エンチャントのコスト：%1$sレベル
container.repair.expensive	Too Expensive!	过于昂贵！	太貴了！	太貴啦！	コストが高すぎます！
container.shulkerBox	Shulker Box	潜影盒	界伏盒	界伏盒	シュルカーボックス
container.shulkerBox.itemCount	%s x%s	%s × %s	%s × %s	%s × %s	%s %s個
container.shulkerBox.more	and %s more...	还有%s项未显示…	還有 %s 件物品...	還有 %s 件物品⋯⋯	その他%s項目…
container.shulkerBox.unknownContents	???????	???????	???????	???????	？？？
container.smoker	Smoker	烟熏炉	煙燻爐	煙燻爐	燻製器
container.spectatorCantOpen	Unable to open. Loot not generated yet.	无法打开：战利品尚未生成。	無法開啟。戰利品尚未生成。	無法打開。戰利品未生成。	中身のアイテムがまだ生成されていないため、開くことができません。
container.stonecutter	Stonecutter	切石机	切石機	切石機	石切台
container.upgrade	Upgrade Gear	升级装备	升級裝備	升級裝備	装備の強化
container.upgrade.error_tooltip	Item can't be upgraded this way	该物品无法用此方式升级	物品無法使用此方式升級	此物品無法使用此方式升級	この方法ではアイテムを強化できません
container.upgrade.missing_template_tooltip	Add Smithing Template	放入锻造模板	放置鍛造模板	放入鍛造模板	鍛冶型を置いてください
controls.keybinds	Key Binds...	按键绑定…	按鍵綁定...	按鍵綁定⋯⋯	キー割り当て…
controls.keybinds.duplicateKeybinds	This key is also used for:
%s	该按键也用于：
%s	此按鍵也用於：
%s	此按鍵亦用於：
%s	このキーは既に以下の項目で使用されています：
%s
controls.keybinds.title	Key Binds	按键绑定	按鍵綁定	按鍵綁定	キー割り当て
controls.reset	Reset	重置	重設	重設	リセット
controls.resetAll	Reset Keys	重置按键	重設按鍵	重設按鍵	操作設定をリセット
